"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-01","7.83",",,W","0.84",",,W,2400","47","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-02","7.61",",,W","2.26",",,W,2400","52","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-03","8.50",",,W","0.00",",,W,2400","59","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-04","12.97",",,W","0.00",",,W,2400","52","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-05","6.04",",,W","0.00",",,W,2400","42","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-06","11.41",",,W","0.47",",,W,2400","40","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-07","18.34",",,W","0.01",",,W,2400","28","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-08","9.62",",,W","0.00",",,W,2400","24","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-09","6.71",",,W","0.00",",,W,2400","33","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-10","9.17",",,W","0.00",",,W,2400","40","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-11","8.72",",,W","0.00",",,W,2400","59","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-12","6.26",",,W","0.00",",,W,2400","61","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-13","3.80",",,W","0.00",",,W,2400","63","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-14","2.01",",,W","0.00",",,W,2400","64","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-01-15","2.68",",,W","0.00",",,W,2400","62","H,,S"
